distortion,level,level_numeric,snr_db_mean,class_id,class_name,n_gt,n_pred,ap_iou50
noise,10,10.0,15.975570212587229,7,harbor,48,41,0.7467281139835487
noise,10,10.0,15.975570212587229,8,bridge,10,8,0.7
noise,10,10.0,15.975570212587229,9,large-vehicle,57,117,0.7473124573947494
noise,10,10.0,15.975570212587229,10,small-vehicle,175,92,0.4307708030263654
noise,10,10.0,15.975570212587229,11,helicopter,0,0,
noise,10,10.0,15.975570212587229,12,roundabout,5,6,0.2
noise,10,10.0,15.975570212587229,13,soccer-ball-field,7,12,0.5238095238095237
noise,10,10.0,15.975570212587229,14,swimming-pool,64,8,0.072265625
noise,15,15.0,13.663546271537024,0,plane,48,50,0.8953598484848485
noise,15,15.0,13.663546271537024,1,ship,6,9,0.6666666666666666
noise,15,15.0,13.663546271537024,2,storage-tank,15,8,0.4666666666666667
noise,15,15.0,13.663546271537024,3,baseball-diamond,11,4,0.3636363636363636
noise,15,15.0,13.663546271537024,4,tennis-court,87,93,0.9382304916950972
noise,15,15.0,13.663546271537024,5,basketball-court,6,2,0.3333333333333333
noise,15,15.0,13.663546271537024,6,ground-track-field,9,7,0.6666666666666666
noise,15,15.0,13.663546271537024,7,harbor,48,42,0.7463646885521885
noise,15,15.0,13.663546271537024,8,bridge,10,7,0.6
noise,15,15.0,13.663546271537024,9,large-vehicle,57,116,0.7401113625904983
noise,15,15.0,13.663546271537024,10,small-vehicle,175,85,0.4100610864173277
noise,15,15.0,13.663546271537024,11,helicopter,0,0,
noise,15,15.0,13.663546271537024,12,roundabout,5,5,0.2
noise,15,15.0,13.663546271537024,13,soccer-ball-field,7,7,0.5102040816326531
noise,15,15.0,13.663546271537024,14,swimming-pool,64,8,0.0670572916666666
noise,25,25.0,10.108449678631985,0,plane,48,50,0.8944746376811594
noise,25,25.0,10.108449678631985,1,ship,6,6,0.5
noise,25,25.0,10.108449678631985,2,storage-tank,15,9,0.4
noise,25,25.0,10.108449678631985,3,baseball-diamond,11,3,0.2727272727272727
noise,25,25.0,10.108449678631985,4,tennis-court,87,103,0.878158065744424
noise,25,25.0,10.108449678631985,5,basketball-court,6,2,0.3333333333333333
noise,25,25.0,10.108449678631985,6,ground-track-field,9,2,0.2222222222222222
noise,25,25.0,10.108449678631985,7,harbor,48,40,0.719079939668175
noise,25,25.0,10.108449678631985,8,bridge,10,6,0.6
noise,25,25.0,10.108449678631985,9,large-vehicle,57,118,0.7279043393517741
noise,25,25.0,10.108449678631985,10,small-vehicle,175,80,0.3846478358139081
noise,25,25.0,10.108449678631985,11,helicopter,0,0,
noise,25,25.0,10.108449678631985,12,roundabout,5,4,0.2
noise,25,25.0,10.108449678631985,13,soccer-ball-field,7,6,0.4285714285714285
noise,25,25.0,10.108449678631985,14,swimming-pool,64,5,0.046875
noise,35,35.0,7.606840899682929,0,plane,48,47,0.875
noise,35,35.0,7.606840899682929,1,ship,6,7,0.5
noise,35,35.0,7.606840899682929,2,storage-tank,15,9,0.4
noise,35,35.0,7.606840899682929,3,baseball-diamond,11,0,0.0
noise,35,35.0,7.606840899682929,4,tennis-court,87,115,0.7030750776383665
noise,35,35.0,7.606840899682929,5,basketball-court,6,2,0.3333333333333333
noise,35,35.0,7.606840899682929,6,ground-track-field,9,1,0.1111111111111111
noise,35,35.0,7.606840899682929,7,harbor,48,41,0.690893665158371
noise,35,35.0,7.606840899682929,8,bridge,10,7,0.6
noise,35,35.0,7.606840899682929,9,large-vehicle,57,117,0.720870480158777
noise,35,35.0,7.606840899682929,10,small-vehicle,175,74,0.3761633141916096
noise,35,35.0,7.606840899682929,11,helicopter,0,1,0.0
noise,35,35.0,7.606840899682929,12,roundabout,5,3,0.4
noise,35,35.0,7.606840899682929,13,soccer-ball-field,7,6,0.3095238095238095
noise,35,35.0,7.606840899682929,14,swimming-pool,64,5,0.046875
noise,50,50.0,4.980252769363661,0,plane,48,46,0.8263310185185185
noise,50,50.0,4.980252769363661,1,ship,6,5,0.5
noise,50,50.0,4.980252769363661,2,storage-tank,15,6,0.311111111111111
noise,50,50.0,4.980252769363661,3,baseball-diamond,11,0,0.0
noise,50,50.0,4.980252769363661,4,tennis-court,87,149,0.5457533360775682
noise,50,50.0,4.980252769363661,5,basketball-court,6,0,0.0
noise,50,50.0,4.980252769363661,6,ground-track-field,9,1,0.1111111111111111
noise,50,50.0,4.980252769363661,7,harbor,48,40,0.6476325403744758
noise,50,50.0,4.980252769363661,8,bridge,10,7,0.4142857142857142
noise,50,50.0,4.980252769363661,9,large-vehicle,57,114,0.6882141252282252
noise,50,50.0,4.980252769363661,10,small-vehicle,175,66,0.3321098637103606
noise,50,50.0,4.980252769363661,11,helicopter,0,1,0.0
noise,50,50.0,4.980252769363661,12,roundabout,5,2,0.4
noise,50,50.0,4.980252769363661,13,soccer-ball-field,7,4,0.2857142857142857
noise,50,50.0,4.980252769363661,14,swimming-pool,64,2,0.03125
