distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_stage_kp,n_good,good_ratio
haze,2.5,2.5,-4.268570215477657,P0198,-4.217477654028361,1000,1000,859,0.859
haze,2.5,2.5,-4.268570215477657,P0308,-6.172731962841098,1000,1000,728,0.728
haze,2.5,2.5,-4.268570215477657,P0336,-8.936414104286403,1000,1000,887,0.887
haze,2.5,2.5,-4.268570215477657,P0345,-6.753706386369913,1000,1000,724,0.724
haze,2.5,2.5,-4.268570215477657,P0363,-6.593880652539133,1000,1000,698,0.698
haze,2.5,2.5,-4.268570215477657,P0368,-6.0892344052852945,1000,1000,699,0.699
haze,2.5,2.5,-4.268570215477657,P0377,-7.718451983916386,1000,941,470,0.49946865037194477
haze,2.5,2.5,-4.268570215477657,P0452,-4.554629711862026,1000,1000,821,0.821
haze,2.5,2.5,-4.268570215477657,P0517,-5.8856946678921505,1000,1000,837,0.837
haze,2.5,2.5,-4.268570215477657,P0565,-9.275489390786351,1000,1000,886,0.886
haze,2.5,2.5,-4.268570215477657,P0649,-8.471774439962935,1000,946,489,0.5169133192389006
haze,2.5,2.5,-4.268570215477657,P0699,-6.547492555320591,1000,1000,722,0.722
haze,2.5,2.5,-4.268570215477657,P0806,-1.974576130506456,1000,1000,657,0.657
haze,2.5,2.5,-4.268570215477657,P1003,-10.469921172420843,1000,1000,833,0.833
haze,2.5,2.5,-4.268570215477657,P1029,-5.937331609481452,1000,1000,810,0.81
haze,2.5,2.5,-4.268570215477657,P1148,-1.9879747124947496,417,229,174,0.759825327510917
haze,2.5,2.5,-4.268570215477657,P1158,-5.515696595099239,939,273,211,0.7728937728937729
haze,2.5,2.5,-4.268570215477657,P1207,7.635119217725437,93,32,0,0.0
haze,2.5,2.5,-4.268570215477657,P1216,7.295009099793226,155,34,9,0.2647058823529412
haze,2.5,2.5,-4.268570215477657,P1242,0.5084271744256931,1000,935,615,0.6577540106951871
haze,2.5,2.5,-4.268570215477657,P1358,-1.0259237392561882,1000,1000,798,0.798
haze,2.5,2.5,-4.268570215477657,P1522,-6.727946084698971,1000,980,647,0.6602040816326531
haze,2.5,2.5,-4.268570215477657,P1676,-1.2100551048203754,536,329,195,0.5927051671732523
haze,2.5,2.5,-4.268570215477657,P1693,-5.174632740511188,825,428,200,0.4672897196261682
haze,2.5,2.5,-4.268570215477657,P1960,-6.30996569871607,1000,1000,870,0.87
haze,2.5,2.5,-4.268570215477657,P2002,-2.5352195806301507,1000,1000,797,0.797
haze,2.5,2.5,-4.268570215477657,P2045,-9.50322884322832,1000,1000,718,0.718
haze,2.5,2.5,-4.268570215477657,P2210,0.5028003574439475,1000,1000,676,0.676
haze,2.5,2.5,-4.268570215477657,P2257,-7.68305114347708,1000,1000,826,0.826
haze,2.5,2.5,-4.268570215477657,P2278,-1.557860609819552,1000,1000,754,0.754
haze,2.5,2.5,-4.268570215477657,P2332,-1.4236184162396683,1000,1000,872,0.872
haze,2.5,2.5,-4.268570215477657,P2352,-3.431012087393018,1000,1000,825,0.825
haze,2.5,2.5,-4.268570215477657,P2456,-4.409025274043776,1000,1000,908,0.908
haze,2.5,2.5,-4.268570215477657,P2528,-5.11791520209812,1000,1000,866,0.866
haze,2.5,2.5,-4.268570215477657,P2591,-4.4354132881462185,1000,1000,818,0.818
haze,2.5,2.5,-4.268570215477657,P2613,-9.753197243840953,1000,1000,865,0.865
haze,2.5,2.5,-4.268570215477657,P2724,-2.4844134488842275,1000,1000,865,0.865
haze,2.5,2.5,-4.268570215477657,P2754,-0.313708804995269,1000,1000,859,0.859
haze,3.0,3.0,-4.564046168308607,P0063,-0.3405214673072442,1000,1000,880,0.88
haze,3.0,3.0,-4.564046168308607,P0081,-6.753990740563961,1000,1000,739,0.739
haze,3.0,3.0,-4.564046168308607,P0198,-4.519172235154825,1000,1000,902,0.902
haze,3.0,3.0,-4.564046168308607,P0308,-6.475081317448388,1000,989,811,0.8200202224469161
haze,3.0,3.0,-4.564046168308607,P0336,-9.236574701677489,1000,1000,922,0.922
haze,3.0,3.0,-4.564046168308607,P0345,-7.053334298053388,1000,992,838,0.844758064516129
haze,3.0,3.0,-4.564046168308607,P0363,-6.891177929884708,1000,994,802,0.806841046277666
haze,3.0,3.0,-4.564046168308607,P0368,-6.394014235676593,1000,993,832,0.837865055387714
haze,3.0,3.0,-4.564046168308607,P0377,-8.016577441648254,1000,852,489,0.573943661971831
haze,3.0,3.0,-4.564046168308607,P0452,-4.862119632382384,1000,1000,896,0.896
haze,3.0,3.0,-4.564046168308607,P0517,-6.186984143942399,1000,1000,930,0.93
haze,3.0,3.0,-4.564046168308607,P0565,-9.578842235859556,1000,1000,901,0.901
haze,3.0,3.0,-4.564046168308607,P0649,-8.789646191771057,1000,776,397,0.5115979381443299
haze,3.0,3.0,-4.564046168308607,P0699,-6.844715045885698,1000,1000,834,0.834
haze,3.0,3.0,-4.564046168308607,P0806,-2.276295070284429,1000,1000,780,0.78
haze,3.0,3.0,-4.564046168308607,P1003,-10.76565981722254,1000,1000,800,0.8
haze,3.0,3.0,-4.564046168308607,P1029,-6.239208479526633,1000,1000,849,0.849
haze,3.0,3.0,-4.564046168308607,P1148,-2.28850191757253,417,77,67,0.8701298701298701
haze,3.0,3.0,-4.564046168308607,P1158,-5.816520271289056,939,122,103,0.8442622950819673
