distortion,level,level_numeric,snr_db_mean,name,ods_threshold,ods_f_score,snr_db
jpeg,1,1.0,14.156771236721948,P2045,20,0.1782261797556844,12.84029835412397
jpeg,1,1.0,14.156771236721948,P2210,175,0.1275192449423049,17.31171540937068
jpeg,1,1.0,14.156771236721948,P2257,49,0.1112383065368542,12.477786333566554
jpeg,1,1.0,14.156771236721948,P2278,183,0.1119848189442283,15.47051788661064
jpeg,1,1.0,14.156771236721948,P2332,168,0.02391490565468,15.559262764021968
jpeg,1,1.0,14.156771236721948,P2352,20,0.0052115184215153,14.3263736278703
jpeg,1,1.0,14.156771236721948,P2456,101,0.0056867676097866,11.425592311697876
jpeg,1,1.0,14.156771236721948,P2528,27,0.0230219436467424,13.82672941577516
jpeg,1,1.0,14.156771236721948,P2591,27,0.1055577235107373,12.762892477303488
jpeg,1,1.0,14.156771236721948,P2613,153,0.2030652705063863,12.293558386398338
jpeg,1,1.0,14.156771236721948,P2724,183,0.0511454973582476,14.616442957536703
jpeg,1,1.0,14.156771236721948,P2754,175,0.0062776215347529,15.915656438942484
jpeg,3,3.0,14.437534838522705,P0063,205,0.1666604030823269,13.26597144651027
jpeg,3,3.0,14.437534838522705,P0081,42,0.0668206607689191,14.327205621608607
jpeg,3,3.0,14.437534838522705,P0198,138,0.2721249823065632,14.23645499885524
jpeg,3,3.0,14.437534838522705,P0308,20,0.1158475887597934,14.591782061686898
jpeg,3,3.0,14.437534838522705,P0336,175,0.096453598708429,13.228725369592524
jpeg,3,3.0,14.437534838522705,P0345,183,0.0643704656399516,13.650884831185682
jpeg,3,3.0,14.437534838522705,P0363,146,0.1825702495202158,13.943047174766216
jpeg,3,3.0,14.437534838522705,P0368,34,0.1522917550246621,14.322564474215271
jpeg,3,3.0,14.437534838522705,P0377,79,0.0884050862612579,12.850561137155095
jpeg,3,3.0,14.437534838522705,P0452,153,0.0741616949617917,13.13674623577696
jpeg,3,3.0,14.437534838522705,P0517,197,0.1888706497917867,11.875357942015674
jpeg,3,3.0,14.437534838522705,P0565,190,0.0777631953024368,12.671571168913491
jpeg,3,3.0,14.437534838522705,P0649,153,0.2660108462170606,13.19651833286214
jpeg,3,3.0,14.437534838522705,P0699,116,0.0879007121947224,18.04340194052235
jpeg,3,3.0,14.437534838522705,P0806,183,0.1049717619124913,15.582901859092535
jpeg,3,3.0,14.437534838522705,P1003,212,0.1315145849944045,12.153999444162125
jpeg,3,3.0,14.437534838522705,P1029,197,0.1865151120618248,13.491893305725958
jpeg,3,3.0,14.437534838522705,P1148,20,0.0454989776150826,19.65723681904055
jpeg,3,3.0,14.437534838522705,P1158,168,0.0755912061113569,16.30913732166165
jpeg,3,3.0,14.437534838522705,P1207,190,1.0,11.95996493382452
