distortion,level,level_numeric,snr_db_mean,name,snr_db,n_clean_kp,n_dist_kp,n_good,good_ratio
haze,2.5,2.5,-4.268570215477657,P2528,-5.11791520209812,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2591,-4.4354132881462185,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2613,-9.753197243840953,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2724,-2.4844134488842275,1000,0,0,0.0
haze,2.5,2.5,-4.268570215477657,P2754,-0.313708804995269,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0063,-0.3405214673072442,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0081,-6.753990740563961,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0198,-4.519172235154825,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0308,-6.475081317448388,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0336,-9.236574701677489,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0345,-7.053334298053388,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0363,-6.891177929884708,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0368,-6.394014235676593,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0377,-8.016577441648254,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0452,-4.862119632382384,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0517,-6.186984143942399,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0565,-9.578842235859556,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0649,-8.789646191771057,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0699,-6.844715045885698,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P0806,-2.276295070284429,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1003,-10.76565981722254,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1029,-6.239208479526633,1000,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1148,-2.28850191757253,417,0,0,0.0
haze,3.0,3.0,-4.564046168308607,P1158,-5.816520271289056,939,0,0,0.0
