name,distortion,level,level_numeric,snr_db_distorted,snr_db_restored,snr_gain_db,clean_path,distorted_path,restored_path
P0336,haze,1.5,1.5,-7.482471131742726,9.18061145888137,16.663082590624096,data/clean/test/images/P0336.png,data/distorted/haze/1.5/test/images/P0336.png,data/restored/haze/1.5/test/images/P0336.png
P0345,haze,1.5,1.5,-5.298966136567861,14.756453843131169,20.055419979699032,data/clean/test/images/P0345.png,data/distorted/haze/1.5/test/images/P0345.png,data/restored/haze/1.5/test/images/P0345.png
P0363,haze,1.5,1.5,-5.139449723927488,17.03268926227405,22.17213898620154,data/clean/test/images/P0363.png,data/distorted/haze/1.5/test/images/P0363.png,data/restored/haze/1.5/test/images/P0363.png
P0368,haze,1.5,1.5,-4.637251222188975,18.317841824867585,22.95509304705656,data/clean/test/images/P0368.png,data/distorted/haze/1.5/test/images/P0368.png,data/restored/haze/1.5/test/images/P0368.png
P0377,haze,1.5,1.5,-6.258387510396313,15.6401770568107,21.89856456720701,data/clean/test/images/P0377.png,data/distorted/haze/1.5/test/images/P0377.png,data/restored/haze/1.5/test/images/P0377.png
P0452,haze,1.5,1.5,-3.107394345151543,15.39935637665253,18.506750721804075,data/clean/test/images/P0452.png,data/distorted/haze/1.5/test/images/P0452.png,data/restored/haze/1.5/test/images/P0452.png
P0517,haze,1.5,1.5,-4.431956449125676,11.728904552515058,16.160861001640733,data/clean/test/images/P0517.png,data/distorted/haze/1.5/test/images/P0517.png,data/restored/haze/1.5/test/images/P0517.png
P0565,haze,1.5,1.5,-7.821444265879798,10.673207819949615,18.494652085829415,data/clean/test/images/P0565.png,data/distorted/haze/1.5/test/images/P0565.png,data/restored/haze/1.5/test/images/P0565.png
P0649,haze,1.5,1.5,-7.0262679807065345,7.2913911571248065,14.317659137831342,data/clean/test/images/P0649.png,data/distorted/haze/1.5/test/images/P0649.png,data/restored/haze/1.5/test/images/P0649.png
P0699,haze,1.5,1.5,-5.090403154460766,15.819162687358117,20.909565841818882,data/clean/test/images/P0699.png,data/distorted/haze/1.5/test/images/P0699.png,data/restored/haze/1.5/test/images/P0699.png
P0806,haze,1.5,1.5,-0.5201340422861457,16.945307232781172,17.465441275067317,data/clean/test/images/P0806.png,data/distorted/haze/1.5/test/images/P0806.png,data/restored/haze/1.5/test/images/P0806.png
P1003,haze,1.5,1.5,-9.016610855506357,11.301236365602414,20.31784722110877,data/clean/test/images/P1003.png,data/distorted/haze/1.5/test/images/P1003.png,data/restored/haze/1.5/test/images/P1003.png
P1029,haze,1.5,1.5,-4.483923359533043,15.575148953782119,20.059072313315163,data/clean/test/images/P1029.png,data/distorted/haze/1.5/test/images/P1029.png,data/restored/haze/1.5/test/images/P1029.png
